Location,AAPC
Thailand,-2.07 (-2.40 - -1.74)
Timor-Leste,-5.12 (-5.41 - -4.84)
Togo,-2.27 (-2.44 - -2.10)
Tokelau,0.61 (-0.85 - 2.10)
Tonga,-2.68 (-2.93 - -2.42)
Trinidad and Tobago,-2.74 (-3.55 - -1.92)
Tunisia,-4.97 (-5.44 - -4.50)
Türkiye,-6.17 (-6.73 - -5.60)
Turkmenistan,-3.80 (-4.96 - -2.63)
Tuvalu,-7.76 (-8.05 - -7.47)
Uganda,-2.79 (-3.12 - -2.45)
Ukraine,-2.34 (-3.95 - -0.71)
United Arab Emirates,-3.06 (-4.87 - -1.23)
United Kingdom,-4.13 (-5.89 - -2.34)
United Republic of Tanzania,-4.26 (-4.53 - -3.99)
United States of America,-5.22 (-5.77 - -4.67)
United States Virgin Islands,-3.05 (-3.69 - -2.41)
Uruguay,-3.05 (-3.84 - -2.25)
Uzbekistan,-3.94 (-4.25 - -3.63)
Vanuatu,-2.18 (-2.64 - -1.73)
Venezuela (Bolivarian Republic of),-2.87 (-3.49 - -2.24)
Viet Nam,-6.04 (-6.24 - -5.83)
Yemen,-5.10 (-5.43 - -4.78)
Zambia,-3.94 (-4.30 - -3.57)
Zimbabwe,-0.03 (-0.45 - 0.39)
